Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,YEAR,Value,NumericValue
1495517,COUNTRY,GNQ,AFR,Africa,2019,No data,
1512215,COUNTRY,AUT,EUR,Europe,2019,No data,
1666194,COUNTRY,DJI,EMR,Eastern Mediterranean,2019,8600 [6600 - 12 000],8600.0
1776979,COUNTRY,JPN,WPR,Western Pacific,2019,No data,
1866601,COUNTRY,CUB,AMR,Americas,2019,38 000 [33 000 - 42 000],38000.0
1910336,COUNTRY,CHE,EUR,Europe,2019,17 000 [15 000 - 19 000],17000.0
1951028,COUNTRY,BLR,EUR,Europe,2019,26 000 [21 000 - 33 000],26000.0
1982221,COUNTRY,KNA,AMR,Americas,2019,No data,
2016446,COUNTRY,LBN,EMR,Eastern Mediterranean,2019,2400 [2100 - 2700],2400.0
2137687,COUNTRY,AFG,EMR,Eastern Mediterranean,2019,9100 [3300 - 33 000],9100.0
2152323,COUNTRY,GAB,AFR,Africa,2019,52 000 [45 000 - 62 000],52000.0
2216984,COUNTRY,ZAF,AFR,Africa,2019,7 300 000 [6 800 000 - 8 000 000],7300000.0
2244118,COUNTRY,MRT,AFR,Africa,2019,6500 [5600 - 8000],6500.0
2424180,COUNTRY,BHR,EMR,Eastern Mediterranean,2019,No data,
2429018,COUNTRY,ERI,AFR,Africa,2019,15 000 [12 000 - 18 000],15000.0
2465506,COUNTRY,STP,AFR,Africa,2019,No data,
2473919,COUNTRY,YEM,EMR,Eastern Mediterranean,2019,12 000 [7900 - 18 000],12000.0
2507148,COUNTRY,LSO,AFR,Africa,2019,290 000 [270 000 - 320 000],290000.0
2551756,COUNTRY,ETH,AFR,Africa,2019,630 000 [530 000 - 760 000],630000.0
2558154,COUNTRY,ESP,EUR,Europe,2019,150 000 [130 000 - 160 000],150000.0
2584316,COUNTRY,ZWE,AFR,Africa,2019,1 400 000 [1 200 000 - 1 500 000],1400000.0
2597657,COUNTRY,HRV,EUR,Europe,2019,1700 [1400 - 1900],1700.0
2632718,COUNTRY,DNK,EUR,Europe,2019,6200 [5200 - 7100],6200.0
2699792,COUNTRY,HND,AMR,Americas,2019,20 000 [18 000 - 22 000],20000.0
2725905,COUNTRY,OMN,EMR,Eastern Mediterranean,2019,2800 [2500 - 3000],2800.0
2760951,COUNTRY,TUR,EUR,Europe,2019,No data,
2796659,COUNTRY,COG,AFR,Africa,2019,110 000 [93 000 - 140 000],110000.0
2874930,COUNTRY,SWE,EUR,Europe,2019,No data,
2899611,COUNTRY,GUY,AMR,Americas,2019,9100 [6700 - 14 000],9100.0
2907696,COUNTRY,MMR,SEAR,South-East Asia,2019,270 000 [230 000 - 320 000],270000.0
2930386,COUNTRY,COL,AMR,Americas,2019,200 000 [160 000 - 250 000],200000.0
2945503,COUNTRY,TGO,AFR,Africa,2019,110 000 [93 000 - 130 000],110000.0
3043660,COUNTRY,AUS,WPR,Western Pacific,2019,28 000 [25 000 - 30 000],28000.0
